general_ancestor_concept_name,general_ancestor_concept_id,descendant_concept_id,concept_name,concept_id,concept_synonym_name
Disorder of cardiovascular system,134057,318443,Arteriosclerotic vascular disease,318443,Arteriosclerotic vascular disease (disorder)
Disorder of cardiovascular system,134057,40479625,Atherosclerosis of artery,40479625,Atherosclerosis of artery (disorder)
Disorder of cardiovascular system,134057,40479625,Atherosclerosis of artery,40479625,Atherosclerosis artery
Disorder of cardiovascular system,134057,43022059,Disease of non-coronary systemic artery,43022059,Disease of non-coronary systemic artery (disorder)
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,CAD - Coronary artery disease
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,CHD - Coronary heart disease
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,Coronary sclerosis
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,Coronary artery disease
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,Coronary arteriosclerosis (disorder)
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,Coronary heart disease
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis,317576,Arteriosclerotic heart disease
Disorder of cardiovascular system,134057,40481919,Coronary atherosclerosis,40481919,Atherosclerosis of coronary artery
Disorder of cardiovascular system,134057,40481919,Coronary atherosclerosis,40481919,Atherosclerosis of coronary artery (disorder)
Disorder of cardiovascular system,134057,40481919,Coronary atherosclerosis,40481919,Atherosclerosis of native coronary artery
Disorder of cardiovascular system,134057,319835,Congestive heart failure,319835,CHF - Congestive heart failure
Disorder of cardiovascular system,134057,319835,Congestive heart failure,319835,Congestive heart failure (disorder)
Disorder of cardiovascular system,134057,319835,Congestive heart failure,319835,Congestive cardiac failure
Disorder of cardiovascular system,134057,319835,Congestive heart failure,319835,Congestive heart disease
Disorder of cardiovascular system,134057,319835,Congestive heart failure,319835,CCF - Congestive cardiac failure
Disorder of cardiovascular system,134057,4185932,Ischemic heart disease,4185932,Ischaemic heart disease
Disorder of cardiovascular system,134057,4185932,Ischemic heart disease,4185932,IHD - Ischemic heart disease
Disorder of cardiovascular system,134057,4185932,Ischemic heart disease,4185932,Ischemic heart disease (disorder)
Disorder of cardiovascular system,134057,4185932,Ischemic heart disease,4185932,IHD - Ischaemic heart disease
Disorder of cardiovascular system,134057,4028244,Chronic disease of cardiovascular system,4028244,Chronic disease of cardiovascular system (disorder)
Disorder of cardiovascular system,134057,4028244,Chronic disease of cardiovascular system,4028244,Chronic disorder of cardiovascular system
Disorder of cardiovascular system,134057,4239975,Myocardial disease,4239975,Myocardial disease (disorder)
Disorder of cardiovascular system,134057,4239975,Myocardial disease,4239975,Disorder of myocardium
Disorder of cardiovascular system,134057,4239975,Myocardial disease,4239975,Disorder of heart muscle
Disorder of cardiovascular system,134057,4281749,Heart valve disorder,4281749,Valvular heart disease
Disorder of cardiovascular system,134057,4281749,Heart valve disorder,4281749,Heart valve disease
Disorder of cardiovascular system,134057,4281749,Heart valve disorder,4281749,Disorder of heart valve
Disorder of cardiovascular system,134057,4281749,Heart valve disorder,4281749,Heart valve disorder (disorder)
Disorder of cardiovascular system,134057,40488439,Abnormality of systemic vein,40488439,Abnormality of systemic vein (disorder)
Disorder of cardiovascular system,134057,4134586,Chronic heart disease,4134586,Chronic disease of heart
Disorder of cardiovascular system,134057,4134586,Chronic heart disease,4134586,Chronic heart disease (disorder)
Disorder of cardiovascular system,134057,4134586,Chronic heart disease,4134586,Chronic disorder of heart
Disorder of cardiovascular system,134057,4134586,Chronic heart disease,4134586,Chronic heart disorder
Disorder of cardiovascular system,134057,4132088,Acute heart disease,4132088,Acute heart disease (disorder)
Disorder of cardiovascular system,134057,381591,Cerebrovascular disease,381591,CVD - Cerebrovascular disease
Disorder of cardiovascular system,134057,381591,Cerebrovascular disease,381591,Cerebrovascular disease (disorder)
Disorder of cardiovascular system,134057,764123,Atherosclerosis of coronary artery without angina pectoris,764123,Atherosclerosis of coronary artery without angina pectoris (disorder)
Disorder of cardiovascular system,134057,764123,Atherosclerosis of coronary artery without angina pectoris,764123,Atherosclerosis of native coronary artery without angina pectoris
Disorder of cardiovascular system,134057,764123,Atherosclerosis of coronary artery without angina pectoris,764123,Atherosclerotic heart disease of native coronary artery without angina pectoris
Disorder of cardiovascular system,134057,4027369,Vascular disease of abdomen,4027369,Vascular disease of abdomen (disorder)
Disorder of cardiovascular system,134057,4027369,Vascular disease of abdomen,4027369,Vascular disorder of abdomen
Disorder of cardiovascular system,134057,312349,Venous varices,312349,Varicose veins
Disorder of cardiovascular system,134057,312349,Venous varices,312349,Venous varices (disorder)
Disorder of cardiovascular system,134057,312349,Venous varices,312349,Varices
Disorder of cardiovascular system,134057,312349,Venous varices,312349,Varicosities
Disorder of cardiovascular system,134057,4134454,Vascular headache,4134454,Vascular headache (disorder)
Disorder of cardiovascular system,134057,321052,Peripheral vascular disease,321052,PVD - peripheral vascular disease
Disorder of cardiovascular system,134057,321052,Peripheral vascular disease,321052,Peripheral vascular disease (disorder)
Disorder of cardiovascular system,134057,318736,Migraine,318736,Migraine (disorder)
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,Cardiac infarction
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,Heart attack
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,Myocardial infarct
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,Myocardial infarction (disorder)
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,Infarction of heart
Disorder of cardiovascular system,134057,4329847,Myocardial infarction,4329847,MI - myocardial infarction
Disorder of cardiovascular system,134057,4231363,Thrombosis,4231363,Thrombosis (disorder)
Disorder of cardiovascular system,134057,4208466,Thrombosis of blood vessel,4208466,Thrombosis of blood vessel (disorder)
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease,442604,Hypertensive cardiovascular disease
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease,442604,Hypertensive heart disease (disorder)
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease,442604,HHD - Hypertensive heart disease
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease,442604,Hypertensive cardiopathy
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease,442604,Hypertensive cardiomegaly
Disorder of cardiovascular system,134057,444031,Chronic heart failure,444031,Chronic heart failure (disorder)
Disorder of cardiovascular system,134057,4095643,Trunk varices,4095643,Trunk varices (disorder)
Disorder of cardiovascular system,134057,444247,Venous thrombosis,444247,Venous thrombosis (disorder)
Disorder of cardiovascular system,134057,319843,Mitral valve disorder,319843,Mitral valve disease
Disorder of cardiovascular system,134057,319843,Mitral valve disorder,319843,Mitral valve disorder (disorder)
Disorder of cardiovascular system,134057,319843,Mitral valve disorder,319843,MVD - Mitral valve disease
Disorder of cardiovascular system,134057,197311,Pelvic varices,197311,Pelvic varices (disorder)
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Piles - hemorrhoids
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Hemorrhoids (disorder)
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Piles
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Haemorrhoids
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Haemorrhoid
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Piles - haemorrhoids
Disorder of cardiovascular system,134057,195562,Hemorrhoids,195562,Hemorrhoid
Disorder of cardiovascular system,134057,321319,Cardiomyopathy,321319,Cardiomyopathy (disorder)
Disorder of cardiovascular system,134057,321319,Cardiomyopathy,321319,Myocardiopathy
Disorder of cardiovascular system,134057,443580,Systolic heart failure,443580,Systolic heart failure (disorder)
Disorder of cardiovascular system,134057,314054,Aortic valve disorder,314054,AVD - Aortic valve disease
Disorder of cardiovascular system,134057,314054,Aortic valve disorder,314054,Aortic valve disease
Disorder of cardiovascular system,134057,314054,Aortic valve disorder,314054,Aortic valve disorder (disorder)
Disorder of cardiovascular system,134057,443587,Diastolic heart failure,443587,Diastolic heart failure (disorder)
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Anginal syndrome
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Ischaemic heart disease - angina
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Angina (disorder)
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,AP - Angina pectoris
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Ischemic heart disease - angina
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Stenocardia
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Cardiac angina
Disorder of cardiovascular system,134057,321318,Angina pectoris,321318,Angina
Disorder of cardiovascular system,134057,4185607,Embolism,4185607,Embolism (disorder)
Disorder of cardiovascular system,134057,4158911,Non-rheumatic heart valve disorder,4158911,Non-rheumatic heart valve disorder (disorder)
Disorder of cardiovascular system,134057,4158911,Non-rheumatic heart valve disorder,4158911,Heart valve disorders - non-rheumatic
Disorder of cardiovascular system,134057,319844,Acute ischemic heart disease,319844,Acute ischaemic heart disease
Disorder of cardiovascular system,134057,319844,Acute ischemic heart disease,319844,Acute ischemic heart disease (disorder)
Disorder of cardiovascular system,134057,4311420,Vascular insufficiency,4311420,Vascular insufficiency (disorder)
Disorder of cardiovascular system,134057,317002,Low blood pressure,317002,Arterial hypotension
Disorder of cardiovascular system,134057,317002,Low blood pressure,317002,Hypotension
Disorder of cardiovascular system,134057,317002,Low blood pressure,317002,Low blood pressure (disorder)
Disorder of cardiovascular system,134057,317002,Low blood pressure,317002,Hypopiesis
Disorder of cardiovascular system,134057,40479192,Chronic systolic heart failure,40479192,Chronic systolic heart failure (disorder)
Disorder of cardiovascular system,134057,312327,Acute myocardial infarction,312327,Acute myocardial infarction (disorder)
Disorder of cardiovascular system,134057,312327,Acute myocardial infarction,312327,AMI - Acute myocardial infarction
Disorder of cardiovascular system,134057,4102928,Obstruction of precerebral artery,4102928,Obstruction of precerebral artery (disorder)
Disorder of cardiovascular system,134057,442310,Acute heart failure,442310,Acute heart failure (disorder)
Disorder of cardiovascular system,134057,312339,Arterial embolism,312339,Arterial embolism (disorder)
Disorder of cardiovascular system,134057,312339,Arterial embolism,312339,Embolic arterial occlusion
Disorder of cardiovascular system,134057,312339,Arterial embolism,312339,Arterial embolus
Disorder of cardiovascular system,134057,40479576,Chronic diastolic heart failure,40479576,Chronic diastolic heart failure (disorder)
Disorder of cardiovascular system,134057,4133004,Deep venous thrombosis,4133004,DVT - Deep vein thrombosis
Disorder of cardiovascular system,134057,4133004,Deep venous thrombosis,4133004,Deep vein thrombosis
Disorder of cardiovascular system,134057,4133004,Deep venous thrombosis,4133004,Deep venous thrombosis (disorder)
Disorder of cardiovascular system,134057,4154290,Paroxysmal atrial fibrillation,4154290,PAF - Paroxysmal atrial fibrillation
Disorder of cardiovascular system,134057,4154290,Paroxysmal atrial fibrillation,4154290,Intermittent atrial fibrillation
Disorder of cardiovascular system,134057,4154290,Paroxysmal atrial fibrillation,4154290,AF - Paroxysmal atrial fibrillation
Disorder of cardiovascular system,134057,4154290,Paroxysmal atrial fibrillation,4154290,Paroxysmal atrial fibrillation (disorder)
Disorder of cardiovascular system,134057,320425,Heart block,320425,Heart block (disorder)
Disorder of cardiovascular system,134057,320425,Heart block,320425,HB - Heart block
Disorder of cardiovascular system,134057,4149782,Thrombosis of vein of lower limb,4149782,Thrombosis of vein of lower limb (disorder)
Disorder of cardiovascular system,134057,314666,Old myocardial infarction,314666,Old myocardial infarction (disorder)
Disorder of cardiovascular system,134057,314666,Old myocardial infarction,314666,Healed myocardial infarction
Disorder of cardiovascular system,134057,314666,Old myocardial infarction,314666,Healed coronary
Disorder of cardiovascular system,134057,319034,Hypertensive heart disease without congestive heart failure,319034,Hypertensive heart disease without congestive heart failure (disorder)
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity,443537,Deep venous thrombosis of lower limb
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity,443537,Deep venous thrombosis of lower extremity (disorder)
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity,443537,DVT - Deep vein thrombosis of lower limb
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity,443537,Deep venous thrombosis of leg
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity,443537,Deep vein thrombosis of lower limb
Disorder of cardiovascular system,134057,4288310,Carotid artery obstruction,4288310,Carotid artery obstruction (disorder)
Disorder of cardiovascular system,134057,440417,Pulmonary embolism,440417,Pulmonary embolism (disorder)
Disorder of cardiovascular system,134057,440417,Pulmonary embolism,440417,PE - Pulmonary embolism
Disorder of cardiovascular system,134057,315286,Chronic ischemic heart disease,315286,Chronic ischemic heart disease (disorder)
Disorder of cardiovascular system,134057,315286,Chronic ischemic heart disease,315286,Chronic ischaemic heart disease
Disorder of cardiovascular system,134057,321596,Peripheral venous insufficiency,321596,Peripheral venous insufficiency (disorder)
Disorder of cardiovascular system,134057,321596,Peripheral venous insufficiency,321596,Chronic venous insufficiency
Disorder of cardiovascular system,134057,4137275,Vasculitis,4137275,Angiitis
Disorder of cardiovascular system,134057,4137275,Vasculitis,4137275,Vasculitis (disorder)
Disorder of cardiovascular system,134057,4230774,Heart valve regurgitation,4230774,Heart valve incompetence
Disorder of cardiovascular system,134057,4230774,Heart valve regurgitation,4230774,Heart valve insufficiency
Disorder of cardiovascular system,134057,4230774,Heart valve regurgitation,4230774,Heart valve regurgitation (disorder)
Disorder of cardiovascular system,134057,44782746,Acute deep venous thrombosis,44782746,Acute deep venous thrombosis (disorder)
Disorder of cardiovascular system,134057,4332246,Aneurysm,4332246,Aneurysm (disorder)
Disorder of cardiovascular system,134057,314658,Cardiomegaly,314658,Enlarged heart
Disorder of cardiovascular system,134057,314658,Cardiomegaly,314658,Cardiomegaly (disorder)
Disorder of cardiovascular system,134057,4232495,Primary cardiomyopathy,4232495,Primary cardiomyopathy (disorder)
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity,318169,Phlebectasia of lower extremity
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity,318169,Varicose veins of lower extremity (disorder)
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity,318169,Varicose veins of lower limb
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity,318169,VV - Varicose veins of leg
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity,318169,Varix of lower extremity
Disorder of cardiovascular system,134057,312336,Arterial aneurysm,312336,Arterial aneurysm (disorder)
Disorder of cardiovascular system,134057,43531681,Acute deep vein thrombosis of lower limb,43531681,Acute deep vein thrombosis of lower limb (disorder)
Disorder of cardiovascular system,134057,4132130,Dilatation of aorta,4132130,Dilatation of aorta (disorder)
Disorder of cardiovascular system,134057,315643,Tachyarrhythmia,315643,Tachyarrhythmia (disorder)
Disorder of cardiovascular system,134057,321822,Peripheral vascular disorder due to diabetes mellitus,321822,Diabetic peripheral circulatory disorder
Disorder of cardiovascular system,134057,321822,Peripheral vascular disorder due to diabetes mellitus,321822,Peripheral vascular disorder due to diabetes mellitus (disorder)
Disorder of cardiovascular system,134057,321822,Peripheral vascular disorder due to diabetes mellitus,321822,Peripheral circulatory disorder associated with diabetes mellitus
Disorder of cardiovascular system,134057,141124,Congenital anomaly of cardiovascular system,141124,Congenital anomaly of cardiovascular system (disorder)
Disorder of cardiovascular system,134057,378735,Migraine without aura,378735,Migraine without aura (disorder)
Disorder of cardiovascular system,134057,378735,Migraine without aura,378735,Common migraine
Disorder of cardiovascular system,134057,378735,Migraine without aura,378735,Atypical migraine
Disorder of cardiovascular system,134057,40491478,Abnormality of aortic valve,40491478,Abnormality of aortic valve (disorder)
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,TIA - Transient ischaemic attack
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,Transient cerebral ischaemia
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,Transient ischemic attack
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,Transient ischemic attack (disorder)
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,Transient ischaemic attack
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,TIA
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia,373503,Temporary cerebral vascular dysfunction
Disorder of cardiovascular system,134057,317585,Aortic aneurysm,317585,AA - Aortic aneurysm
Disorder of cardiovascular system,134057,317585,Aortic aneurysm,317585,Aortic aneurysm (disorder)
Disorder of cardiovascular system,134057,317585,Aortic aneurysm,317585,Aneurysm of aorta
Disorder of cardiovascular system,134057,40480603,Acute systolic heart failure,40480603,Acute systolic heart failure (disorder)
Disorder of cardiovascular system,134057,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)
Disorder of cardiovascular system,134057,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,443729,Peripheral circulatory disorder associated with type 2 diabetes mellitus
Disorder of cardiovascular system,134057,4141360,Chronic atrial fibrillation,4141360,Chronic atrial fibrillation (disorder)
Disorder of cardiovascular system,134057,4176794,Congenital anomaly of cardiovascular structure of trunk,4176794,Congenital anomaly of cardiovascular structure of trunk (disorder)
Disorder of cardiovascular system,134057,318174,Phlebitis,318174,Inflammation of vein
Disorder of cardiovascular system,134057,318174,Phlebitis,318174,Phlebitis (disorder)
Disorder of cardiovascular system,134057,316993,Tricuspid valve disorder,316993,Tricuspid valve disorder (disorder)
Disorder of cardiovascular system,134057,316993,Tricuspid valve disorder,316993,Tricuspid valve disease
Disorder of cardiovascular system,134057,40481042,Acute diastolic heart failure,40481042,Acute diastolic heart failure (disorder)
Disorder of cardiovascular system,134057,37110290,Disease of circulatory system complicating pregnancy childbirth and puerperium,37110290,Disease of circulatory system complicating pregnancy childbirth and puerperium (disorder)
Disorder of cardiovascular system,134057,317302,Sinus node dysfunction,317302,Sinus node dysfunction (disorder)
Disorder of cardiovascular system,134057,317302,Sinus node dysfunction,317302,Coronary sinus rhythm disorder
Disorder of cardiovascular system,134057,45768449,Hypertensive crisis,45768449,Hypertensive crisis (disorder)
Disorder of cardiovascular system,134057,4195003,Heart valve stenosis,4195003,Heart valve stenosis (disorder)
Disorder of cardiovascular system,134057,4166844,Intraventricular conduction defect,4166844,Intraventricular conduction defect (disorder)
Disorder of cardiovascular system,134057,313791,Bundle branch block,313791,Bundle branch block (disorder)
Disorder of cardiovascular system,134057,313791,Bundle branch block,313791,BBB - Bundle branch block
Disorder of cardiovascular system,134057,313791,Bundle branch block,313791,Fascicular block
Disorder of cardiovascular system,134057,444101,Hypertensive heart failure,444101,Hypertensive heart failure (disorder)
Disorder of cardiovascular system,134057,314665,Atrial flutter,314665,Atrial flutter (disorder)
Disorder of cardiovascular system,134057,43530605,Pulmonary embolism with pulmonary infarction,43530605,Pulmonary embolism with pulmonary infarction (disorder)
Disorder of cardiovascular system,134057,43530605,Pulmonary embolism with pulmonary infarction,43530605,Pulmonary embolism with infarction
Disorder of cardiovascular system,134057,43020424,Hypertensive emergency,43020424,Hypertensive emergency (disorder)
Disorder of cardiovascular system,134057,195556,Hypertensive heart AND renal disease,195556,Cardiorenal disease
Disorder of cardiovascular system,134057,195556,Hypertensive heart AND renal disease,195556,Hypertensive heart AND renal disease (disorder)
Disorder of cardiovascular system,134057,313792,Paroxysmal tachycardia,313792,PT - Paroxysmal tachycardia
Disorder of cardiovascular system,134057,313792,Paroxysmal tachycardia,313792,Bouveret-Hoffmann syndrome
Disorder of cardiovascular system,134057,313792,Paroxysmal tachycardia,313792,Paroxysmal tachycardia (disorder)
Disorder of cardiovascular system,134057,313792,Paroxysmal tachycardia,313792,Essential paroxysmal tachycardia
Disorder of cardiovascular system,134057,4289933,Malignant hypertension,4289933,Malignant hypertension (disorder)
Disorder of cardiovascular system,134057,317898,Malignant essential hypertension,317898,Malignant essential hypertension (disorder)
Disorder of cardiovascular system,134057,317898,Malignant essential hypertension,317898,Accelerated essential hypertension
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,Mitral valve insufficiency
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,MI - Mitral incompetence
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,MR - Mitral regurgitation
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,Mitral valve regurgitation (disorder)
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,Mitral insufficiency
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,Mitral valve incompetence
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation,443962,Mitral regurgitation
Disorder of cardiovascular system,134057,4322024,Pulmonary hypertension,4322024,PHT - Pulmonary hypertension
Disorder of cardiovascular system,134057,4322024,Pulmonary hypertension,4322024,Pulmonary hypertension (disorder)
Disorder of cardiovascular system,134057,40491455,Abnormality of abdominal aorta,40491455,Abnormality of abdominal aorta (disorder)
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Preinfarction angina
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Preinfarction syndrome (disorder)
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Pre-infarction syndrome
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Worsening angina
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Intermediate coronary syndrome
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Unstable angina
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome,315296,Crescendo angina
Disorder of cardiovascular system,134057,40486130,Dilatation of descending aorta,40486130,Dilation of descending aorta
Disorder of cardiovascular system,134057,40486130,Dilatation of descending aorta,40486130,Dilatation of descending aorta (disorder)
Disorder of cardiovascular system,134057,4103295,Ventricular tachycardia,4103295,Ventricular tachycardia (disorder)
Disorder of cardiovascular system,134057,4103295,Ventricular tachycardia,4103295,VT - Ventricular tachycardia
Disorder of cardiovascular system,134057,40480602,Acute on chronic systolic heart failure,40480602,Acute on chronic systolic heart failure (disorder)
Disorder of cardiovascular system,134057,45769461,Non-rheumatic mitral valve disease,45769461,Non-rheumatic mitral valve disease (disorder)
Disorder of cardiovascular system,134057,37016191,Abdominal aortic ectasia,37016191,Abdominal aortic ectasia (disorder)
Disorder of cardiovascular system,134057,312723,Congenital heart disease,312723,Congenital anomaly of heart
Disorder of cardiovascular system,134057,312723,Congenital heart disease,312723,Congenital heart disease (disorder)
Disorder of cardiovascular system,134057,312723,Congenital heart disease,312723,CHD - Congenital heart disease
Disorder of cardiovascular system,134057,4305210,Atrioventricular conduction disorder,4305210,Atrioventricular conduction disorder (disorder)
Disorder of cardiovascular system,134057,316135,Atrioventricular block,316135,Atrioventricular block (disorder)
Disorder of cardiovascular system,134057,316135,Atrioventricular block,316135,AVB - Atrioventricular block
Disorder of cardiovascular system,134057,316135,Atrioventricular block,316135,AV block
Disorder of cardiovascular system,134057,441039,Phlebitis of lower limb vein,441039,Phlebitis of lower limb vein (disorder)
Disorder of cardiovascular system,134057,4140448,Aneurysm of descending aorta,4140448,Aneurysm of descending aorta (disorder)
Disorder of cardiovascular system,134057,40481043,Acute on chronic diastolic heart failure,40481043,Acute on chronic diastolic heart failure (disorder)
Disorder of cardiovascular system,134057,4275423,Supraventricular tachycardia,4275423,Supraventricular tachycardia (disorder)
Disorder of cardiovascular system,134057,4275423,Supraventricular tachycardia,4275423,SVT - Supraventricular tachycardia
Disorder of cardiovascular system,134057,315273,Mitral valve stenosis,315273,MS - Mitral stenosis
Disorder of cardiovascular system,134057,315273,Mitral valve stenosis,315273,Mitral stenosis
Disorder of cardiovascular system,134057,315273,Mitral valve stenosis,315273,Mitral valve stenosis (disorder)
Disorder of cardiovascular system,134057,4263504,Benign hypertensive heart disease,4263504,Benign hypertensive heart disease (disorder)
Disorder of cardiovascular system,134057,318549,Cardiac septal defects,318549,Heart septal defects
Disorder of cardiovascular system,134057,318549,Cardiac septal defects,318549,Cardiac septal defects (disorder)
Disorder of cardiovascular system,134057,4162038,Occlusion of artery,4162038,Occlusion of artery (disorder)
Disorder of cardiovascular system,134057,4162038,Occlusion of artery,4162038,Blocked artery
Disorder of cardiovascular system,134057,4162038,Occlusion of artery,4162038,Arterial occlusion
Disorder of cardiovascular system,134057,4162038,Occlusion of artery,4162038,Arterial occlusive disease
Disorder of cardiovascular system,134057,4162038,Occlusion of artery,4162038,Obstruction of artery
Disorder of cardiovascular system,134057,4048213,Heart valve stenosis and regurgitation,4048213,Heart valve stenosis and incompetence
Disorder of cardiovascular system,134057,4048213,Heart valve stenosis and regurgitation,4048213,Heart valve stenosis and regurgitation (disorder)
Disorder of cardiovascular system,134057,381549,Migraine with aura,381549,Classical migraine
Disorder of cardiovascular system,134057,381549,Migraine with aura,381549,Migraine with aura (disorder)
Disorder of cardiovascular system,134057,313502,Benign hypertensive heart disease without congestive heart failure,313502,Benign hypertensive heart disease without congestive heart failure (disorder)
Disorder of cardiovascular system,134057,439415,Congenital vascular disorder,439415,Congenital vascular disorder (disorder)
