general_ancestor_concept_name,general_ancestor_concept_id,descendant_concept_id,concept_name
Disorder of cardiovascular system,134057,440417,Pulmonary embolism
Disorder of cardiovascular system,134057,315286,Chronic ischemic heart disease
Disorder of cardiovascular system,134057,321596,Peripheral venous insufficiency
Disorder of cardiovascular system,134057,4137275,Vasculitis
Disorder of cardiovascular system,134057,4230774,Heart valve regurgitation
Disorder of cardiovascular system,134057,44782746,Acute deep venous thrombosis
Disorder of cardiovascular system,134057,4332246,Aneurysm
Disorder of cardiovascular system,134057,314658,Cardiomegaly
Disorder of cardiovascular system,134057,4232495,Primary cardiomyopathy
Disorder of cardiovascular system,134057,318169,Varicose veins of lower extremity
Disorder of cardiovascular system,134057,312336,Arterial aneurysm
Disorder of cardiovascular system,134057,43531681,Acute deep vein thrombosis of lower limb
Disorder of cardiovascular system,134057,4132130,Dilatation of aorta
Disorder of cardiovascular system,134057,315643,Tachyarrhythmia
Disorder of cardiovascular system,134057,321822,Peripheral vascular disorder due to diabetes mellitus
Disorder of cardiovascular system,134057,141124,Congenital anomaly of cardiovascular system
Disorder of cardiovascular system,134057,378735,Migraine without aura
Disorder of cardiovascular system,134057,40491478,Abnormality of aortic valve
Disorder of cardiovascular system,134057,373503,Transient cerebral ischemia
Disorder of cardiovascular system,134057,317585,Aortic aneurysm
Disorder of cardiovascular system,134057,40480603,Acute systolic heart failure
Disorder of cardiovascular system,134057,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus
Disorder of cardiovascular system,134057,4141360,Chronic atrial fibrillation
Disorder of cardiovascular system,134057,4176794,Congenital anomaly of cardiovascular structure of trunk
Disorder of cardiovascular system,134057,318174,Phlebitis
Disorder of cardiovascular system,134057,316993,Tricuspid valve disorder
Disorder of cardiovascular system,134057,40481042,Acute diastolic heart failure
Disorder of cardiovascular system,134057,37110290,Disease of circulatory system complicating pregnancy childbirth and puerperium
Disorder of cardiovascular system,134057,317302,Sinus node dysfunction
Disorder of cardiovascular system,134057,45768449,Hypertensive crisis
Disorder of cardiovascular system,134057,4195003,Heart valve stenosis
Disorder of cardiovascular system,134057,4166844,Intraventricular conduction defect
Disorder of cardiovascular system,134057,313791,Bundle branch block
Disorder of cardiovascular system,134057,444101,Hypertensive heart failure
Disorder of cardiovascular system,134057,314665,Atrial flutter
Disorder of cardiovascular system,134057,43530605,Pulmonary embolism with pulmonary infarction
Disorder of cardiovascular system,134057,43020424,Hypertensive emergency
Disorder of cardiovascular system,134057,195556,Hypertensive heart AND renal disease
Disorder of cardiovascular system,134057,313792,Paroxysmal tachycardia
Disorder of cardiovascular system,134057,4289933,Malignant hypertension
Disorder of cardiovascular system,134057,317898,Malignant essential hypertension
Disorder of cardiovascular system,134057,443962,Mitral valve regurgitation
Disorder of cardiovascular system,134057,4322024,Pulmonary hypertension
Disorder of cardiovascular system,134057,40491455,Abnormality of abdominal aorta
Disorder of cardiovascular system,134057,315296,Preinfarction syndrome
Disorder of cardiovascular system,134057,40486130,Dilatation of descending aorta
Disorder of cardiovascular system,134057,4103295,Ventricular tachycardia
Disorder of cardiovascular system,134057,40480602,Acute on chronic systolic heart failure
Disorder of cardiovascular system,134057,45769461,Non-rheumatic mitral valve disease
Disorder of cardiovascular system,134057,37016191,Abdominal aortic ectasia
Disorder of cardiovascular system,134057,312723,Congenital heart disease
Disorder of cardiovascular system,134057,4305210,Atrioventricular conduction disorder
Disorder of cardiovascular system,134057,316135,Atrioventricular block
Disorder of cardiovascular system,134057,441039,Phlebitis of lower limb vein
Disorder of cardiovascular system,134057,4140448,Aneurysm of descending aorta
Disorder of cardiovascular system,134057,40481043,Acute on chronic diastolic heart failure
Disorder of cardiovascular system,134057,4275423,Supraventricular tachycardia
Disorder of cardiovascular system,134057,315273,Mitral valve stenosis
Disorder of cardiovascular system,134057,4263504,Benign hypertensive heart disease
Disorder of cardiovascular system,134057,318549,Cardiac septal defects
Disorder of cardiovascular system,134057,4162038,Occlusion of artery
Disorder of cardiovascular system,134057,4048213,Heart valve stenosis and regurgitation
Disorder of cardiovascular system,134057,381549,Migraine with aura
Disorder of cardiovascular system,134057,313502,Benign hypertensive heart disease without congestive heart failure
Disorder of cardiovascular system,134057,439415,Congenital vascular disorder
Disorder of cardiovascular system,134057,4267553,Congenital vascular malformation
Disorder of cardiovascular system,134057,443615,Refractory migraine
Disorder of cardiovascular system,134057,314368,Mitral stenosis with insufficiency
Disorder of cardiovascular system,134057,4110937,Non-rheumatic mitral valve stenosis
Disorder of cardiovascular system,134057,4108815,Non-rheumatic mitral regurgitation
Disorder of cardiovascular system,134057,320741,Thrombophlebitis
Disorder of cardiovascular system,134057,45766207,Non-rheumatic mitral valve stenosis with regurgitation
Disorder of cardiovascular system,134057,317309,Peripheral arterial occlusive disease
Disorder of cardiovascular system,134057,4167493,Pregnancy-induced hypertension
Disorder of cardiovascular system,134057,762752,Arteriosclerosis of aorta
Disorder of cardiovascular system,134057,312934,Atherosclerosis of aorta
Disorder of cardiovascular system,134057,439696,Hypertensive heart and renal disease with (congestive) heart failure
Disorder of cardiovascular system,134057,316429,Premature beats
Disorder of cardiovascular system,134057,4263712,Subendocardial ischemia
Disorder of cardiovascular system,134057,765132,Subendocardial myocardial infarction
Disorder of cardiovascular system,134057,444406,Acute subendocardial infarction
Disorder of cardiovascular system,134057,434337,Retinal vascular disorder
Disorder of cardiovascular system,134057,4108817,"Tricuspid valve disorder, non-rheumatic"
Disorder of cardiovascular system,134057,40481089,Embolism from thrombosis of vein of lower extremity
Disorder of cardiovascular system,134057,44782719,Chronic combined systolic and diastolic heart failure
Disorder of cardiovascular system,134057,4213379,Valvular sclerosis
Disorder of cardiovascular system,134057,4152384,Non-rheumatic aortic sclerosis
Disorder of cardiovascular system,134057,321042,Cardiac arrest
Disorder of cardiovascular system,134057,4270024,Acute non-ST segment elevation myocardial infarction
Disorder of cardiovascular system,134057,319041,Orthostatic hypotension
Disorder of cardiovascular system,134057,312935,Venous hypertension
Disorder of cardiovascular system,134057,437579,Paroxysmal ventricular tachycardia
Disorder of cardiovascular system,134057,316998,Left bundle branch block
Disorder of cardiovascular system,134057,4119774,Arterial malformation
Disorder of cardiovascular system,134057,314059,Right bundle branch block
Disorder of cardiovascular system,134057,199856,Varicose veins of lower extremity with inflammation
Disorder of cardiovascular system,134057,4124706,Myocardial dysfunction
Disorder of cardiovascular system,134057,4092936,Ischemic myocardial dysfunction
Disorder of cardiovascular system,134057,4110961,Generalized ischemic myocardial dysfunction
Disorder of cardiovascular system,134057,4091901,Aberrant premature complexes
Disorder of cardiovascular system,134057,315564,Aortic valve regurgitation
Disorder of cardiovascular system,134057,319825,Rheumatic heart disease
Disorder of cardiovascular system,134057,4108234,Multiple valve disease
Disorder of cardiovascular system,134057,4227086,Hemorrhage of blood vessel
Disorder of cardiovascular system,134057,4278217,Arterial thrombosis
Disorder of cardiovascular system,134057,444097,Thrombophlebitis of lower extremities
Disorder of cardiovascular system,134057,4164489,Carditis
Disorder of cardiovascular system,134057,36717267,Ectasia of thoracic aorta
Disorder of cardiovascular system,134057,4111570,Partial atrioventricular block
Disorder of cardiovascular system,134057,4289309,Atrial septal defect
Disorder of cardiovascular system,134057,443616,Refractory migraine without aura
Disorder of cardiovascular system,134057,435829,Rheumatic disease of heart valve
Disorder of cardiovascular system,134057,4013643,Pulmonary arterial hypertension
Disorder of cardiovascular system,134057,4048520,Endocardial disease
Disorder of cardiovascular system,134057,4261842,Sick sinus syndrome
Disorder of cardiovascular system,134057,441589,Endocarditis
Disorder of cardiovascular system,134057,317893,Paroxysmal supraventricular tachycardia
Disorder of cardiovascular system,134057,320744,Complete atrioventricular block
Disorder of cardiovascular system,134057,4339214,Secondary pulmonary hypertension
Disorder of cardiovascular system,134057,4232697,Persistent atrial fibrillation
Disorder of cardiovascular system,134057,320416,Diseases of mitral and aortic valves
Disorder of cardiovascular system,134057,440392,Retinal vascular occlusion
Disorder of cardiovascular system,134057,44782718,Acute combined systolic and diastolic heart failure
Disorder of cardiovascular system,134057,4313767,Chronic peripheral venous hypertension
Disorder of cardiovascular system,134057,4322316,Congenital anomaly of heart valve
Disorder of cardiovascular system,134057,4278243,Cerebral arteriosclerosis
Disorder of cardiovascular system,134057,316437,Cerebral atherosclerosis
Disorder of cardiovascular system,134057,40488825,Systemic vein obstruction
Disorder of cardiovascular system,134057,4279525,Hypertension in the obstetric context
Disorder of cardiovascular system,134057,4311246,Pre-existing hypertension in obstetric context
Disorder of cardiovascular system,134057,4159647,Thromboembolic disorder
Disorder of cardiovascular system,134057,4089462,Ventricular premature complex
Disorder of cardiovascular system,134057,443622,Aneurysm of thoracic aorta
Disorder of cardiovascular system,134057,319845,Pulmonary valve disorder
Disorder of cardiovascular system,134057,443239,Precerebral arterial occlusion
Disorder of cardiovascular system,134057,4096099,Phlebitis of deep veins of lower extremity
Disorder of cardiovascular system,134057,4042396,Deep thrombophlebitis
Disorder of cardiovascular system,134057,4187790,Thrombosis of retinal vein
Disorder of cardiovascular system,134057,43021632,Congenital abnormality of systemic artery
Disorder of cardiovascular system,134057,319826,Secondary hypertension
Disorder of cardiovascular system,134057,4296653,Acute ST segment elevation myocardial infarction
Disorder of cardiovascular system,134057,4221821,Thrombophlebitis of deep veins of lower extremity
Disorder of cardiovascular system,134057,434462,Ventricular septal defect
Disorder of cardiovascular system,134057,44784621,Hypertensive heart and chronic kidney disease
Disorder of cardiovascular system,134057,4006971,Tricuspid valve regurgitation
Disorder of cardiovascular system,134057,4200991,Ischemia
Disorder of cardiovascular system,134057,374384,Cerebral ischemia
Disorder of cardiovascular system,134057,199870,Renal vascular disorder
Disorder of cardiovascular system,134057,37111502,Stenosis of artery
Disorder of cardiovascular system,134057,442982,Left ventricular abnormality
Disorder of cardiovascular system,134057,314379,First degree atrioventricular block
Disorder of cardiovascular system,134057,4163710,Dilated cardiomyopathy
Disorder of cardiovascular system,134057,44782733,Acute on chronic combined systolic and diastolic heart failure
Disorder of cardiovascular system,134057,314962,Raynaud's disease
Disorder of cardiovascular system,134057,24966,Esophageal varices
Disorder of cardiovascular system,134057,4111409,"Aortic incompetence, non-rheumatic"
Disorder of cardiovascular system,134057,439295,Multiple and bilateral precerebral arterial occlusion
Disorder of cardiovascular system,134057,46273489,Thrombosis of vein of upper limb
Disorder of cardiovascular system,134057,439846,Left heart failure
Disorder of cardiovascular system,134057,4207615,Thrombosis of vein of trunk
Disorder of cardiovascular system,134057,439393,Pre-eclampsia
Disorder of cardiovascular system,134057,193250,Gastric hemorrhage
Disorder of cardiovascular system,134057,434467,Ostium secundum type atrial septal defect
Disorder of cardiovascular system,134057,312337,Arterial embolus and thrombosis
Disorder of cardiovascular system,134057,44783618,Heritable pulmonary arterial hypertension
Disorder of cardiovascular system,134057,377844,Status migrainosus
Disorder of cardiovascular system,134057,4140207,Nephrosclerosis
Disorder of cardiovascular system,134057,4232337,Valvular endocarditis
Disorder of cardiovascular system,134057,314463,Congenital anomaly of aorta
Disorder of cardiovascular system,134057,4264033,Systemic vasculitis
Disorder of cardiovascular system,134057,313928,Peripheral vascular complication
Disorder of cardiovascular system,134057,40490966,Abnormality of pulmonary valve
Disorder of cardiovascular system,134057,4141106,Thrombosis of arteries of the extremities
Disorder of cardiovascular system,134057,320746,Cardiomyopathy associated with another disorder
Disorder of cardiovascular system,134057,192673,Vascular insufficiency of intestine
Disorder of cardiovascular system,134057,192680,Portal hypertension
Disorder of cardiovascular system,134057,316501,Vascular disease of the skin
Disorder of cardiovascular system,134057,321882,Generalized atherosclerosis
Disorder of cardiovascular system,134057,4141827,Transformed migraine
Disorder of cardiovascular system,134057,43530652,Chronic intractable migraine without aura
Disorder of cardiovascular system,134057,44782715,Chronic peripheral venous hypertension with lower extremity complication
Disorder of cardiovascular system,134057,4111412,"Tricuspid incompetence, non-rheumatic"
Disorder of cardiovascular system,134057,314659,Arteritis
Disorder of cardiovascular system,134057,4189343,Aortic valve stenosis
Disorder of cardiovascular system,134057,4146627,Non-proteinuric hypertension of pregnancy
Disorder of cardiovascular system,134057,441922,Transient hypertension of pregnancy
Disorder of cardiovascular system,134057,315922,Patent ductus arteriosus
Disorder of cardiovascular system,134057,312622,Venous retinal branch occlusion
Disorder of cardiovascular system,134057,4049296,Congenital stenosis of cardiac valve
Disorder of cardiovascular system,134057,4124693,Hypertrophic cardiomyopathy
Disorder of cardiovascular system,134057,195834,Atherosclerosis of renal artery
Disorder of cardiovascular system,134057,4222174,Rheumatic disease of mitral valve
Disorder of cardiovascular system,134057,4012483,Congenital valvular insufficiency
Disorder of cardiovascular system,134057,4143042,Ectopic beats
Disorder of cardiovascular system,134057,4077218,Superficial vein thrombosis
Disorder of cardiovascular system,134057,317305,Stricture of artery
Disorder of cardiovascular system,134057,4121635,Arterial hemorrhage
Disorder of cardiovascular system,134057,46272492,Dissection of artery
Disorder of cardiovascular system,134057,198571,Cardiogenic shock
Disorder of cardiovascular system,134057,314378,Hypertensive heart disease with congestive heart failure
Disorder of cardiovascular system,134057,4028057,Deep venous thrombosis of upper extremity
Disorder of cardiovascular system,134057,441872,Supraventricular premature beats
Disorder of cardiovascular system,134057,4245646,Congenital septal defect of heart
Disorder of cardiovascular system,134057,4237912,"Aneurysm of artery, other than aorta"
Disorder of cardiovascular system,134057,318448,Second degree atrioventricular block
Disorder of cardiovascular system,134057,4182110,Rheumatic heart valve regurgitation
Disorder of cardiovascular system,134057,4185572,Ventricular arrhythmia
Disorder of cardiovascular system,134057,4236905,Thrombosis of arteries of lower extremity
Disorder of cardiovascular system,134057,22340,Esophageal varices without bleeding
Disorder of cardiovascular system,134057,4209011,Pulmonic valve stenosis
Disorder of cardiovascular system,134057,313761,Central retinal vein occlusion
Disorder of cardiovascular system,134057,314423,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered"
Disorder of cardiovascular system,134057,4108659,Mitral and aortic incompetence
Disorder of cardiovascular system,134057,4160899,Cardiac valve prolapse
Disorder of cardiovascular system,134057,4252872,Mitral valve prolapse
Disorder of cardiovascular system,134057,318775,Venous embolism
Disorder of cardiovascular system,134057,43022062,Cardiovascular system complication of procedure
Disorder of cardiovascular system,134057,316995,Coronary occlusion
Disorder of cardiovascular system,134057,4030224,Congenital anomaly of aortic valve
Disorder of cardiovascular system,134057,313005,Congenital stenosis of pulmonary valve
Disorder of cardiovascular system,134057,437894,Ventricular fibrillation
Disorder of cardiovascular system,134057,4119460,Infective endocarditis
Disorder of cardiovascular system,134057,44782421,Acute deep venous thrombosis of upper extremity
Disorder of cardiovascular system,134057,44784638,Hypertensive heart AND chronic kidney disease stage 5
Disorder of cardiovascular system,134057,321107,Congenital insufficiency of aortic valve
Disorder of cardiovascular system,134057,4161701,Pericardial effusion
Disorder of cardiovascular system,134057,4319327,Thrombosis of pelvic vein
Disorder of cardiovascular system,134057,40481896,Hypertensive urgency
Disorder of cardiovascular system,134057,4108814,Pericardial effusion - noninflammatory
Disorder of cardiovascular system,134057,317003,Compression of vein
Disorder of cardiovascular system,134057,37110370,Small vessel vasculitis
Disorder of cardiovascular system,134057,438170,Acute myocardial infarction of inferior wall
Disorder of cardiovascular system,134057,4101621,Right ventricular abnormality
Disorder of cardiovascular system,134057,319921,Congenital pulmonary valve abnormality
Disorder of cardiovascular system,134057,4099994,Congenital abnormality of cardiac connection
Disorder of cardiovascular system,134057,318566,Flushing
Disorder of cardiovascular system,134057,4115173,Atrial premature complex
Disorder of cardiovascular system,134057,4049466,Gastric ulcer with hemorrhage
Disorder of cardiovascular system,134057,193787,Varicose veins of lower extremity with ulcer AND inflammation
Disorder of cardiovascular system,134057,372886,Refractory migraine with aura
Disorder of cardiovascular system,134057,320739,Dissection of aorta
Disorder of cardiovascular system,134057,372924,Cerebral artery occlusion
Disorder of cardiovascular system,134057,4273632,Right ventricular failure
Disorder of cardiovascular system,134057,379806,Migraine variants
Disorder of cardiovascular system,134057,4111566,Disorders of both mitral and tricuspid valves
Disorder of cardiovascular system,134057,36712779,Chronic total occlusion of coronary artery
Disorder of cardiovascular system,134057,36712971,Chronic deep venous thrombosis
Disorder of cardiovascular system,134057,4175807,Rheumatic disease of tricuspid valve
Disorder of cardiovascular system,134057,4183981,Malignant hypertensive heart disease
Disorder of cardiovascular system,134057,315282,Rheumatic disease of aortic valve
Disorder of cardiovascular system,134057,434376,Acute myocardial infarction of anterior wall
Disorder of cardiovascular system,134057,4138837,Pericarditis
Disorder of cardiovascular system,134057,4307356,Cor pulmonale
Disorder of cardiovascular system,134057,4152156,Cardiovascular injury
Disorder of cardiovascular system,134057,4109870,Arterial insufficiency
Disorder of cardiovascular system,134057,4145489,Ventricular hypertrophy
Disorder of cardiovascular system,134057,4327889,Thromboembolism of vein
Disorder of cardiovascular system,134057,4195677,Rheumatic tricuspid valve regurgitation
Disorder of cardiovascular system,134057,321074,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium"
Disorder of cardiovascular system,134057,4111998,Esophageal varices associated with another disorder
Disorder of cardiovascular system,134057,381316,Cerebrovascular accident
Disorder of cardiovascular system,134057,321109,Congenital anomaly of coronary artery
Disorder of cardiovascular system,134057,433471,Retinal neovascularization
Disorder of cardiovascular system,134057,4119780,Congenital arteriovenous malformation
Disorder of cardiovascular system,134057,318712,Peripheral circulatory disorder due to type 1 diabetes mellitus
Disorder of cardiovascular system,134057,4231591,Right ventricular hypertrophy
Disorder of cardiovascular system,134057,4244029,Congenital hypertrophy of cardiac ventricle
Disorder of cardiovascular system,134057,201894,Acute vascular insufficiency of intestine
Disorder of cardiovascular system,134057,321080,"Hypertension complicating pregnancy, childbirth and the puerperium"
Disorder of cardiovascular system,134057,4085025,Superficial thrombophlebitis
Disorder of cardiovascular system,134057,439698,Benign hypertensive heart disease with congestive cardiac failure
Disorder of cardiovascular system,134057,314664,Long QT syndrome
Disorder of cardiovascular system,134057,196444,Angiodysplasia of intestine
Disorder of cardiovascular system,134057,433536,Severe pre-eclampsia
Disorder of cardiovascular system,134057,40484167,Arteriosclerosis of artery of extremity
Disorder of cardiovascular system,134057,44782735,Chronic deep venous thrombosis of lower extremity
Disorder of cardiovascular system,134057,434663,Acute endocarditis
Disorder of cardiovascular system,134057,44782728,Hypertensive heart AND chronic kidney disease with congestive heart failure
Disorder of cardiovascular system,134057,42535714,Antineutrophil cytoplasmic antibody positive vasculitis
Disorder of cardiovascular system,134057,4322565,Deep venous thrombosis of profunda femoris vein
Disorder of cardiovascular system,134057,4298329,Phlebitis of deep femoral vein
Disorder of cardiovascular system,134057,4127089,Coronary artery spasm
Disorder of cardiovascular system,134057,314369,Malignant hypertensive heart disease without congestive heart failure
Disorder of cardiovascular system,134057,313223,Granulomatosis with polyangiitis
Disorder of cardiovascular system,134057,443771,Renal hypertension
Disorder of cardiovascular system,134057,192763,Injury of blood vessel
Disorder of cardiovascular system,134057,4180943,Neonatal cardiovascular disorder
Disorder of cardiovascular system,134057,317895,Renovascular hypertension
Disorder of cardiovascular system,134057,320116,Acute pericarditis
Disorder of cardiovascular system,134057,4211001,Chronic gastric ulcer with hemorrhage
Disorder of cardiovascular system,134057,44782732,Chronic pulmonary embolism
Disorder of cardiovascular system,134057,199837,Portal vein thrombosis
Disorder of cardiovascular system,134057,36714994,Typical atrial flutter
Disorder of cardiovascular system,134057,4164092,Acute cerebrovascular insufficiency
Disorder of cardiovascular system,134057,316428,Hypertrophic obstructive cardiomyopathy
Disorder of cardiovascular system,134057,321462,Cardiac complication
Disorder of cardiovascular system,134057,314171,Low blood pressure reading
Disorder of cardiovascular system,134057,372721,Congenital anomaly of cerebrovascular system
Disorder of cardiovascular system,134057,4283084,Subacute endocarditis
Disorder of cardiovascular system,134057,4108805,Acute and subacute endocarditis
Disorder of cardiovascular system,134057,4246484,Congenital hypoplasia of heart
Disorder of cardiovascular system,134057,316795,Congenital anomaly of peripheral blood vessel
Disorder of cardiovascular system,134057,137940,Transient hypertension of pregnancy - delivered
Disorder of cardiovascular system,134057,440207,Hypoplastic left heart syndrome
Disorder of cardiovascular system,134057,4173170,Neonatal dysrhythmia
Disorder of cardiovascular system,134057,312927,Acute cor pulmonale
Disorder of cardiovascular system,134057,4131908,Peripheral angiopathy due to diabetes mellitus
Disorder of cardiovascular system,134057,444055,Thrombophlebitis of superficial veins of lower extremity
Disorder of cardiovascular system,134057,4041707,Gastric ulcer with hemorrhage but without obstruction
Disorder of cardiovascular system,134057,4029831,Bacterial infectious disease of heart
Disorder of cardiovascular system,134057,4228448,Bradyarrhythmia
Disorder of cardiovascular system,134057,4116649,Bacterial endocarditis
Disorder of cardiovascular system,134057,4175649,Thrombosis of the popliteal vein
Disorder of cardiovascular system,134057,43020873,Acute infective endocarditis
Disorder of cardiovascular system,134057,196431,Hypersensitivity angiitis
Disorder of cardiovascular system,134057,4249899,Subacute bacterial endocarditis
Disorder of cardiovascular system,134057,435646,Congenital anomaly of pulmonary artery
Disorder of cardiovascular system,134057,4078214,Rheumatic heart valve stenosis
Disorder of cardiovascular system,134057,4250169,Bifascicular block
Disorder of cardiovascular system,134057,4009624,Acute bacterial endocarditis
Disorder of cardiovascular system,134057,432933,Aneurysm of artery of lower extremity
Disorder of cardiovascular system,134057,321119,Coarctation of aorta
Disorder of cardiovascular system,134057,315558,Atherosclerosis of arteries of the extremities
Disorder of cardiovascular system,134057,436136,Dissection of thoracic aorta
Disorder of cardiovascular system,134057,196433,Aneurysm of iliac artery
Disorder of cardiovascular system,134057,44782760,Acute thrombosis of superficial vein of upper extremity
Disorder of cardiovascular system,134057,4040820,Rheumatic disease of mitral AND aortic valves
Disorder of cardiovascular system,134057,319054,Thrombophlebitis of upper extremities
Disorder of cardiovascular system,134057,4111565,Disorders of both aortic and tricuspid valves
Disorder of cardiovascular system,134057,443522,Neonatal bradycardia
Disorder of cardiovascular system,134057,4118910,Maternal hypertension
Disorder of cardiovascular system,134057,199064,Chronic vascular insufficiency of intestine
Disorder of cardiovascular system,134057,438438,Acute myocardial infarction of anterolateral wall
Disorder of cardiovascular system,134057,4237202,Pulmonic valve regurgitation
Disorder of cardiovascular system,134057,4326746,Congenital anomaly of mitral valve
Disorder of cardiovascular system,134057,313007,Congenital insufficiency of mitral valve
Disorder of cardiovascular system,134057,4111416,"Pulmonary incompetence, non-rheumatic"
Disorder of cardiovascular system,134057,314383,Myocarditis
Disorder of cardiovascular system,134057,40479589,Takotsubo cardiomyopathy
Disorder of cardiovascular system,134057,313224,Anomalous atrioventricular excitation
Disorder of cardiovascular system,134057,4135052,Vascular anomaly of umbilical cord
Disorder of cardiovascular system,134057,4300078,Velamentous insertion of umbilical cord
Disorder of cardiovascular system,134057,320115,Mitral insufficiency and aortic stenosis
Disorder of cardiovascular system,134057,4108235,"Combined disorders of mitral, aortic and tricuspid valves"
Disorder of cardiovascular system,134057,197018,Chronic gastric ulcer with hemorrhage but without obstruction
Disorder of cardiovascular system,134057,4231580,Acute gastric ulcer with hemorrhage
Disorder of cardiovascular system,134057,432431,Discordant ventriculoarterial connection
Disorder of cardiovascular system,134057,4090039,Penile arterial insufficiency
Disorder of cardiovascular system,134057,4146124,Autoimmune vasculitis
Disorder of cardiovascular system,134057,4101602,Henoch-Sch̦nlein purpura
Disorder of cardiovascular system,134057,36715881,Angiodysplasia of small intestine
Disorder of cardiovascular system,134057,40482685,Angiodysplasia of duodenum
Disorder of cardiovascular system,134057,4310024,Angiodysplasia of stomach
Disorder of cardiovascular system,134057,319047,Necrosis of artery
Disorder of cardiovascular system,134057,40483538,Atherosclerosis of bypass graft of limb
Disorder of cardiovascular system,134057,313543,Venous complication of pregnancy and/or the puerperium
Disorder of cardiovascular system,134057,4339013,Branch retinal vein occlusion with macular edema
Disorder of cardiovascular system,134057,4043737,Dissection of cervicocerebral artery
Disorder of cardiovascular system,134057,318776,Rheumatic mitral regurgitation
